chembl_compound_id,canonical_smiles,np_likeness (NP-Scout),macrocyclic_label
CHEMBL3317817,CC(C)(C)OC(=O)NCCC[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c3csc(CNC(=O)C[C@H](OC1=O)\C=C\CCS)n3,0.56,macrocyclic
CHEMBL3317818,CC(C)(C)OC(=O)n1cnc(C[C@@H]2NC(=O)[C@]3(C)CSC(=N3)c4csc(CNC(=O)C[C@H](OC2=O)\C=C\CCS)n4)c1,0.27,macrocyclic
CHEMBL3143520,CC(C)(C)Oc1ccc(C[C@@H]2NC(=O)[C@H](CCCCNC(=O)CCNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)cc1,0.4,macrocyclic
CHEMBL526496,CC(C)(C)c1cc(C[C@@H]2NC(=O)[C@H](CCCCCC(=O)CCNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)ccc1O,0.6,macrocyclic
CHEMBL3143521,CC(C)(C)c1cc(C[C@@H]2NC(=O)[C@H](CCCCNC(=O)CCCCCNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)ccc1O,0.62,macrocyclic
CHEMBL3143518,CC(C)(C)c1cc(C[C@@H]2NC(=O)[C@H](CCCCNC(=O)CCCNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)ccc1O,0.62,macrocyclic
CHEMBL3143523,CC(C)(C)c1cc(C[C@@H]2NC(=O)[C@H](CCCCNC(=O)CCNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)cc(c1O)C(C)(C)C,0.65,macrocyclic
CHEMBL3143517,CC(C)(C)c1cc(C[C@H]2NC(=O)[C@H](CCCCNC(=O)CCNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)ccc1O,0.65,macrocyclic
CHEMBL3350348,CC(C)(C)c1cc(C[C@@H]2NC(=O)[C@H](CCCCNC(=O)CCNC2=O)NC(=O)[C@H](N)Cc3ccccc3)ccc1O,0.65,macrocyclic
CHEMBL3143516,CC(C)(C)c1cc(C[C@@H]2NC(=O)[C@H](CCCCNC(=O)CCNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)ccc1O,0.65,macrocyclic
CHEMBL2371264,CC(C)(C)c1cc(C[C@@H]2NC(=O)[C@H](CCCCNC(=O)CNC2=O)NC(=O)[C@@H](N)Cc3ccccc3)ccc1O,0.63,macrocyclic
CHEMBL4099651,CC(C)(C)c1cc2nn1CC\C=C\COc3ccc(C[C@H](NC2=O)C(=O)NC4(CC4)C#N)cc3Cl,0.15,macrocyclic
CHEMBL376526,CC(C)(O)C#Cc1cc2OCCCCCOc3nc(NC(=O)Nc2cc1Cl)cnc3C#N,0.22,macrocyclic
CHEMBL289006,CC(C)[C@@H](NC(=O)[C@H]1CSSC[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](CC(=O)O)C(=O)N1)C(=O)NCC(=O)N,0.8,macrocyclic
